date,avg_temp,avg_min,avg_max,avg_prcp,avg_dewp
1999-01-01,25.61,21.92,29.03,0,-11.75
1999-01-02,15.979999999999997,10.49,22.46,0,-19.700000000000003
1999-01-03,36.86,22.46,52.7,0.06496066499999999,-2.15
1999-01-04,30.74,24.53,45.5,3.0899622984999997,-8.8
1999-01-05,22.91,17.96,28.490000000000002,0,-14.5
1999-01-06,24.98,20.03,31.46,0,-12.45
1999-01-07,32.54,28.94,35.06,0,-9.25
1999-01-08,25.520000000000003,21.92,31.46,0,-11.350000000000001
1999-01-09,38.03,31.46,48.47,0.4950790075,2.35
1999-01-10,28.13,24.53,34.519999999999996,0.29015763699999997,-9.75
1999-01-11,24.89,22.46,26.96,0,-14.2
1999-01-12,36.05,21.47,48.47,0,-6.300000000000001
1999-01-13,43.07,28.490000000000002,50,0,0.55
1999-01-14,21.11,17.06,31.46,0.06003940249999999,-8.399999999999999
1999-01-15,30.92,18.5,42.44,0.43996086749999996,-1.7
1999-01-16,31.009999999999998,23.54,42.53,0.644882238,-6.1
1999-01-17,43.34,35.96,51.53,0,-1
1999-01-18,45.32,35.78,54.95,0.0301181265,6.050000000000001
1999-01-19,43.34,34.07,55.49,0.8899611105,-0.45
1999-01-20,42.35,35.51,48.47,0,-4.6
1999-01-21,38.75,32.089999999999996,45.5,0,2.25
1999-01-22,41.27,38.93,43.519999999999996,0.11003942949999998,4.199999999999999
1999-01-23,42.08,40.01,46.49,0.025000013499999998,5.4
1999-01-24,51.8,44.06,55.49,0.1950788455,10.65
1999-01-25,39.38,33.44,48.47,0.8600398345,-0.75
1999-01-26,35.33,31.009999999999998,40.46,0.109842579,-4.6
1999-01-27,38.120000000000005,32.99,43.519999999999996,0,-2.2
1999-01-28,38.39,32.54,43.97,0.05492128949999999,1.75
1999-01-29,35.42,32.54,38.93,0.035039389,-1.55
1999-01-30,29.84,23.990000000000002,37.04,0,-7.4
1999-01-31,23.54,16.519999999999996,30.02,0,-16.25
1999-02-01,30.380000000000003,25.52,40.55,0,-11.850000000000001
1999-02-02,43.16,36.5,51.8,0.1250000675,3.7
1999-02-03,48.019999999999996,42.260000000000005,53.510000000000005,0.8149610699999998,4.55
1999-02-04,42.53,34.97,48.47,0,3
1999-02-05,40.82,33.08,46.49,0.0750000405,-4.9
1999-02-06,35.78,32.54,45.68,0,-9.100000000000001
1999-02-07,39.56,32,42.980000000000004,0,-3.4000000000000004
1999-02-08,33.44,30.11,36.95,0.15492134349999998,-2.95
1999-02-09,34.879999999999995,27.950000000000003,42.53,0.070078778,-3.15
1999-02-10,43.34,38.03,50,0,-1.15
1999-02-11,41.27,33.44,47.480000000000004,0,-2.35
1999-02-12,46.760000000000005,42.53,54.5,0,6.75
1999-02-13,38.93,32.54,52.34,0.0801181535,-2.15
1999-02-14,27.41,22.46,32,0,-12.350000000000001
1999-02-15,30.740000000000002,23,43.97,0,-10.95
1999-02-16,40.55,33.980000000000004,48.47,0,-2.4
1999-02-17,40.730000000000004,34.879999999999995,50,0,3.75
1999-02-18,41.99,36.14,49.19,0.31496080000000004,5
1999-02-19,37.849999999999994,33.53,42.08,0.750000405,-1.85
1999-02-20,35.69,32.54,39.47,0,-4.45
1999-02-21,31.82,27.5,37.489999999999995,0,-6.9
1999-02-22,23.81,17.509999999999998,30.92,0.0100393755,-15.25
1999-02-23,20.75,14,27.950000000000003,0,-19.2
1999-02-24,29.39,25.520000000000003,35.510000000000005,0,-11.25
1999-02-25,31.91,26.06,37.489999999999995,0,-5.25
1999-02-26,35.870000000000005,30.11,48.02,0.114960692,-3.5
1999-02-27,39.650000000000006,32.54,48.47,0.0198819005,-6
1999-02-28,42.53,34.43,50,0,2.95
1999-03-01,42.71,37.489999999999995,50.45,0.8250004455,3.2
1999-03-02,40.19,34.519999999999996,48.47,0.009842525,-4.699999999999999
1999-03-03,45.05,35.510000000000005,52.519999999999996,0,-0.3
1999-03-04,43.160000000000004,33.89,56.480000000000004,0.3750002025,2.1
1999-03-05,35.510000000000005,29.48,42.980000000000004,0.1600394565,-9
1999-03-06,39.379999999999995,34.07,46.58,0,-2.65
1999-03-07,32.81,21.47,46.94,0.45000024299999997,-4.15
1999-03-08,24.8,17.509999999999998,35.510000000000005,0.0801181535,-16.85
1999-03-09,28.58,17.509999999999998,35.510000000000005,0,-15.700000000000001
1999-03-10,33.26,28.04,39.92,0,-14.399999999999999
1999-03-11,33.349999999999994,26.51,41,0,-10.85
1999-03-12,30.92,25.43,40.46,0,-8.75
1999-03-13,35.33,25.520000000000003,48.47,0,-7.1
1999-03-14,37.22,28.490000000000002,48.47,0,-3.45
1999-03-15,34.61,32,41.99,1.0549218295,-0.8500000000000001
1999-03-16,38.39,32.989999999999995,47.480000000000004,0.12992132999999997,-6.9
1999-03-17,48.11,32.989999999999995,62.96,0,-2.1
1999-03-18,55.85,46.04,68.53999999999999,0,0.8
1999-03-19,43.61,38.93,48.47,0,-3.95
1999-03-20,40.64,34.519999999999996,50.54,0,-6.95
1999-03-21,41.09,33.53,49.01,0,1.15
1999-03-22,45.230000000000004,33.98,51.260000000000005,1.0750005804999998,3
1999-03-23,42.53,36.95,51.53,0.0549212895,-3.4000000000000004
1999-03-24,47.120000000000005,39.56,53.51,0,4.05
1999-03-25,47.12,40.46,53.51,0.0950787915,-0.2
1999-03-26,39.650000000000006,32.54,48.47,0,-6.65
1999-03-27,42.71,35.06,52.97,0,-2.8
1999-03-28,44.15,34.519999999999996,53.51,0.27007888599999996,2.05
1999-03-29,53.42,46.04,67.00999999999999,0.1899607325,0.95
1999-03-30,54.86,46.04,67.55,0,-5.6
1999-03-31,57.92,46.58,72.05000000000001,0,-3.4499999999999997
1999-04-01,56.120000000000005,46.04,72.5,0,3.5
1999-04-02,55.22,48.02,61.06999999999999,0.050000026999999996,8.399999999999999
1999-04-03,48.379999999999995,45.95,56.57,0,0.30000000000000004
1999-04-04,52.61,47.03,62.06,0.11515754249999999,6.35
1999-04-05,45.86,35.510000000000005,57.92,0,-6.1
1999-04-06,50.269999999999996,40.010000000000005,59.45,0,0.04999999999999999
1999-04-07,56.3,46.49,70.52,0.0399606515,4.85
1999-04-08,64.22,50,79.52000000000001,0,3.1500000000000004
1999-04-09,55.22,44.06,74.03,0,1.55
1999-04-10,48.290000000000006,41.54,57.92,0.42007896699999997,0.05
1999-04-11,44.599999999999994,39.47,55.489999999999995,0.04507876449999999,-3.05
1999-04-12,44.239999999999995,38.21,55.04,0.35511830199999994,0.8
1999-04-13,49.55,42.53,59.36,0.0399606515,-5.800000000000001
1999-04-14,53.510000000000005,46.489999999999995,63.949999999999996,0,-6.699999999999999
1999-04-15,57.2,47.480000000000004,65.93,0,-4.85
1999-04-16,50.540000000000006,46.489999999999995,64.49000000000001,0,5.15
1999-04-17,49.91,42.980000000000004,58.55,0.23503949699999999,3.45
1999-04-18,52.519999999999996,45.5,62.059999999999995,0,1.75
1999-04-19,52.61,45.05,62.059999999999995,0,2.15
1999-04-20,47.84,43.34,57.56,0.0100393755,4.35
1999-04-21,51.08,45.5,58.91,0.17500009449999998,2.8499999999999996
1999-04-22,52.16,44.510000000000005,59,0.029921276,6.949999999999999
1999-04-23,51.44,47.480000000000004,56.03,0.050000027,8.7
1999-04-24,48.379999999999995,40.010000000000005,59.54,0.270078886,-4.05
1999-04-25,50.81,41,60.53,0,-5.9
1999-04-26,59.54,48.47,73.49000000000001,0,-1.2
1999-04-27,56.03,45.5,68.53999999999999,0,-2.2
